full_name,affilitation,code,family_name,wage,declaration_web
MORONESE Vilma,Misto,29142,Moronese,100469,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Moronese_2021.pdf?
MORRA Nicola,Misto,29143,Morra,96470,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Morra_2021.pdf?
NANNICINI Tommaso,PD,31572,Nannicini,94882,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nannicini_2021.pdf?
NAPOLITANO Giorgio,"Aut (SVP-PATT, UV)",1672,Napolitano,123000,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Napolitano_2021.pdf?
NASTRI Gaetano,FdI,25446,Nastri,420958,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nastri_2021.pdf?
NATURALE Gisella,M5S,32673,Naturale,100448,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Naturale_2021.pdf?
NENCINI Riccardo,IV-PSI,1686,Nencini,110430,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nencini_2021.pdf?
NISINI Tiziana,L-SP-PSd'Az,32750,Nisini,123055,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nisini_2021.pdf?
NOCERINO Simona Nunzia,Ipf-CD,32674,Nocerino,95240,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nocerino_2021.pdf?
NUGNES Paola,Misto,29147,Nugnes,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Nugnes_2021.pdf?
ORTIS Fabrizio,Misto,32675,Ortis,104848,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ortis_2021.pdf?
ORTOLANI Franco,,32676,Ortolani,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ortolani_2021.pdf?
OSTELLARI Andrea,L-SP-PSd'Az,32677,Ostellari,261952,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ostellari_2021.pdf?
PACIFICO Marinella,Misto,32678,Pacifico,98938,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pacifico_2021.pdf?
